,price_range
565,0
1064,1
165,3
1127,2
1091,2
483,3
1487,2
149,2
1927,3
961,3
992,1
536,0
418,1
636,3
204,2
1883,0
240,2
1711,1
53,1
217,1
679,0
1983,2
1321,3
759,3
1879,1
211,2
1920,3
756,0
845,0
1336,2
766,2
710,2
807,3
1136,1
1056,2
377,1
1912,1
385,3
1351,1
949,1
1969,2
905,3
1345,2
1287,3
694,1
1314,0
1410,1
857,2
1619,2
452,3
1888,0
1659,3
113,2
1635,3
172,2
665,0
19,1
1323,1
1386,3
1329,1
1025,0
1202,1
479,3
1014,0
983,1
190,1
904,0
1825,1
1352,2
1593,2
1662,1
813,1
609,2
1822,1
189,3
1320,1
1894,0
374,3
1859,0
874,1
1552,2
141,0
548,2
1402,2
468,0
1562,2
725,1
1060,3
1568,2
1363,0
533,1
1974,1
520,3
152,1
815,2
1633,1
1393,0
1010,2
667,2
1070,0
1500,2
1452,1
403,2
1313,2
1292,0
643,2
1919,0
146,1
1448,1
1044,1
1697,3
398,1
1407,2
443,1
1647,0
873,0
1601,0
966,0
1689,2
695,1
855,1
109,3
1779,3
1087,1
585,0
354,2
1889,3
590,2
899,3
930,3
546,1
515,2
1854,0
1211,0
335,2
625,1
122,3
651,2
1657,1
379,3
790,0
463,0
594,2
638,1
526,2
552,0
202,0
181,0
1949,2
137,3
185,0
1855,0
668,3
1524,1
1085,2
132,2
1429,1
1146,2
1224,0
521,1
1638,2
1630,0
987,3
366,2
257,1
1414,2
1175,2
789,3
1235,0
1173,3
835,3
773,2
1618,2
476,3
375,2
1226,3
1401,0
169,1
419,0
491,3
334,2
267,1
1581,0
1199,2
52,3
1555,0
635,1
252,1
1606,1
473,0
1700,0
1366,1
435,0
752,1
154,0
1152,1
93,0
1083,2
1891,0
821,3
1856,3
1858,2
1281,3
1296,2
1644,1
1846,0
458,1
274,2
99,1
259,3
344,0
641,2
301,0
757,2
1468,3
1918,2
1666,3
555,0
1242,2
1194,1
330,1
465,3
733,3
126,2
1939,2
198,1
1766,0
1716,2
1403,2
250,2
43,1
1006,0
531,0
579,3
721,3
878,3
1249,2
1542,3
450,1
1911,0
631,3
1154,0
1673,1
916,0
59,2
1333,1
1622,1
1304,3
1392,0
875,0
560,3
1379,1
1318,3
1347,2
1748,1
253,0
58,1
236,1
62,0
328,2
1623,1
528,2
1680,2
1901,2
566,0
605,2
1529,1
357,0
1928,0
1661,1
689,1
866,2
194,2
1167,2
1585,3
1253,0
1925,2
1908,3
699,0
1781,3
1643,1
1609,2
1408,0
920,0
1799,2
372,3
1805,2
1691,1
1009,1
17,3
889,1
781,2
373,0
1570,0
238,1
295,1
1875,0
73,3
615,2
494,1
1819,2
627,1
1547,2
200,0
952,3
530,0
1418,3
601,3
1203,2
176,0
1763,2
489,2
155,1
1212,3
1847,0
1685,3
1645,1
1840,3
671,1
1375,1
276,3
1881,2
1267,1
965,3
1102,0
1640,2
136,1
1583,2
896,2
1563,1
1868,3
1654,0
376,0
718,3
1905,0
299,1
1094,0
947,0
229,3
106,3
1758,0
1374,3
618,3
490,0
320,0
1865,2
1125,2
1744,1
1168,1
951,1
1720,2
148,2
542,1
1602,3
1902,2
1181,1
1221,2
1155,1
684,1
1844,0
740,3
1706,2
302,0
1637,1
1634,0
745,2
1738,1
1035,0
897,2
1322,0
1658,3
1344,1
723,0
798,3
1768,3
1034,0
683,2
22,1
621,1
720,3
903,2
967,0
957,3
850,3
650,2
696,3
1052,1
313,0
164,2
1599,3
914,3
306,1
877,3
284,2
1845,3
1421,2
35,1
1435,1
738,1
1810,0
1271,3
872,1
265,1
1806,1
51,2
356,2
1364,2
1541,3
607,0
519,3
1397,0
1841,0
475,2
1406,1
746,3
1921,1
831,3
1913,0
1191,3
553,1
